"Uf","IBGE","Municipio","CNES","Estabelecimento","INE","Sigla da equipe","Populaçao"
"MS","500620","NOVA ANDRADINA","3881032","ESF CENTRO","0000443611","eSF","5015"
"MS","500620","NOVA ANDRADINA","0187941","ESF UNIVERSITARIO","0002022532","eSF","3050"
"MS","500620","NOVA ANDRADINA","3881032","ESF CENTRO","0001711717","eSF","2915"
"MS","500630","PARANAÍBA","3050270","UNIDADE SAUDE DA FAMILIA SANTA LUCIA","0000443743","eSF","2111"
"MS","500630","PARANAÍBA","5927056","UNIDADE SAUDE DA FAMILIA HILDA DA SILVA OLIVEIRA","0000443808","eSF","3843"
"MS","500540","MARACAJU","5304830","UBS ESF BALBINO CORREIA DE LIMA","0000443123","eSF","4692"
"MS","500568","MUNDO NOVO","2536846","UNIDADE DE SAUDE DA FAMILIA II MUNDO NOVO","0000443247","eSF","4805"
"MS","500568","MUNDO NOVO","3463567","UNIDADE DE SAUDE DA FAMILIA III","0000443255","eSF","2738"
"MS","500570","NAVIRAÍ","5322804","ESF RONAN MARQUES","0000443301","eSF","4472"
"MS","500570","NAVIRAÍ","9912835","ESF IPE","0001687301","eSF","2173"
"MS","500640","PEDRO GOMES","2676885","UNIDADE SAUDE DA FAMILIA DO CENTRO DE SAUDE","0000443891","eSF","3358"
"MS","500660","PONTA PORÃ","5683238","UNIDADE BASICA DE SAUDE DA FAMILIA ROSANGELA PEREIRA SILVA","0000444014","eSF","5451"
"MS","500660","PONTA PORÃ","5870178","UNIDADE BASICA DE SAUDE DA FAMILIA DR NERY DE AZAMBUJA","0000444022","eSF","6273"
"MS","500660","PONTA PORÃ","7281986","UNIDADE BASICA DE SAUDE DA FAMILIA JOSE ALBERTO VIEIRA BOCH","0001512390","eSF","5165"
"MS","500260","CAMAPUÃ","6375022","UNIDADE DE SAUDE DA FAMILIA II VILA IZOLINA","0000438936","eSF","2439"
"MS","500270","CAMPO GRANDE","0010197","SESAU USF DR SUMIE IKEDA RODRIGUES SERRADINHO","0000439169","eSF","4232"
"MS","500830","TRÊS LAGOAS","2757168","UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA","0001691694","eSF","2757"
"MS","500070","ANASTÁCIO","6625452","ESTRATEGIA DE SAUDE DA FAMILIA BENTA VIEIRA DE ARRUDA","0000437891","eSF","2039"
"MS","500085","ANGÉLICA","2376601","ESF DR MARCIO ROGERIO CAMARGO","0000437980","eSF","1717"
"MS","500085","ANGÉLICA","6958451","ESF LAURO DOMINGOS DE SOUZA","0000438006","eSF","2827"
"MS","500100","APARECIDA DO TABOADO","5884179","ESF JARDIM DAS FLORES","0000438111","eSF","6604"
"MS","500720","RIO BRILHANTE","2804522","ESTRATEGIA SAUDE DA FAMILIA RURAL","0000444227","eSF","1875"
"MS","500750","ROCHEDO","2376067","UNIDADE DE SAUDE DA FAMILIA DE ROCHEDO","0000444421","eSF","4586"
"MS","500769","SÃO GABRIEL DO OESTE","2599376","UNIDADE DE SAUDE DA FAMILIA VI","0000444529","eSF","3827"
"MS","500770","SETE QUEDAS","9921613","UNIDADE BASICA DA SAUDE DA FAMILIA DE SETE QUEDAS","0000444596","eSF","2959"
"MS","500270","CAMPO GRANDE","0010413","SESAU USF DR SONI LYDIA SOUZA WOLF MACAUBAS","0001644718","eSF","3264"
"MS","500270","CAMPO GRANDE","3051374","SESAU USF DRA ALDA GUEDES GARCIA OLIVEIRA JARDIM AZALEIA","0001644769","eSF","3529"
"MS","500270","CAMPO GRANDE","0301825","SESAU USF DRA REGIA JUSSARA F DE BARROS AERO RANCHO GRANJA","0002127342","eSF","4788"
"MS","500270","CAMPO GRANDE","9983449","SESAU USF DR CARLOS A JURGIELEWCZ CRISTO REDENTOR","0001717359","eSF","3694"
"MS","500270","CAMPO GRANDE","0028789","SESAU USF DR JUDSON TADEU RIBAS MORENINHA III","0001705792","eSF","2970"
"MS","500270","CAMPO GRANDE","7096895","SESAU USF DR HELIO MARTINS COELHO BATISTAO","0001707906","eSF","3297"
"MS","500280","CARACOL","2620138","ESF LIDIANE DE OLIVEIRA GARDIN GALEANO","0000440825","eSF","2820"
"MS","500290","CASSILÂNDIA","2375710","UNIDADE BASICA DE SAUDE DR ANTONIO TEIXEIRA DE LIMA","0000440833","eSF","3148"
"MS","500295","CHAPADÃO DO SUL","2559013","UNIDADE DE SAUDE DA FAMILIA SAUDE LAR","0000440957","eSF","5046"
"MS","500320","CORUMBÁ","2376105","UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS","0000441074","eSF","4710"
"MS","500320","CORUMBÁ","2536684","UNIDADE BASICA DE SAUDE NOVA CORUMBA","0000441163","eSF","4184"
"MS","500320","CORUMBÁ","2591405","UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO","0000441228","eSF","2727"
"MS","500270","CAMPO GRANDE","6585612","SESAU USF AQUINO DIAS BEZERRA VIDA NOVA","0000440566","eSF","3520"
"MS","500270","CAMPO GRANDE","7096895","SESAU USF DR HELIO MARTINS COELHO BATISTAO","0000440647","eSF","4029"
"MS","500270","CAMPO GRANDE","0028835","SESAU USF DR BENJAMIM ASATO PARQUE DO SOL","0000439967","eSF","3221"
"MS","500270","CAMPO GRANDE","0028835","SESAU USF DR BENJAMIM ASATO PARQUE DO SOL","0000439975","eSF","4081"
"MS","500270","CAMPO GRANDE","3023737","SESAU USF VILA CORUMBA","0000440086","eSF","4660"
"MS","500270","CAMPO GRANDE","3051358","SESAU USF DR WAGNER JOSE BORTOTTO GARCIA MARIO COVAS","0000440124","eSF","4077"
"MS","500270","CAMPO GRANDE","3080021","SESAU USF DR EMILIO GARBELOTI NETO TARUMA","0000440191","eSF","2376"
"MS","500124","ARAL MOREIRA","2591391","POSTO DE SAUDE ELIANA FERREIRA MACHADO","0000438332","eSF","1643"
"MS","500124","ARAL MOREIRA","3276740","POSTO DE SAUDE VISTA ALEGRE","0001512498","eSF","1251"
"MS","500190","BATAGUASSU","2371014","UNIDADE DE SAUDE JD SAO FRANCISCO","0000438383","eSF","3260"
"MS","500190","BATAGUASSU","9060588","ESF LUCIO FERREIRA ROSA","0001612301","eSF","3820"
"MS","500200","BATAYPORÃ","2376733","ESTRATEGIA DE SAUDE DA FAMILIA SAO LUIZ","0000438502","eSF","1031"
"MS","500210","BELA VISTA","2710633","ESF DR RUBENS ALBERTO ABOTT DE CASTRO PINTO AGUA DOCE","0000438561","eSF","2917"
"MS","500215","BODOQUENA","2676745","UNIDADE BASICA DE SAUDE JESUINO ORMUNDO","0000438650","eSF","1760"
"MS","500230","BRASILÂNDIA","2599481","UNIDADE SAUDE DA FAMILIA I BRASILANDIA","0000438715","eSF","3725"
"MS","500230","BRASILÂNDIA","9139249","UNIDADE BASICA DE SAUDE JOSE FRANCISCO MARQUES NETO","0000438758","eSF","3243"
"MS","500790","SIDROLÂNDIA","2370840","SAUDE LAR DO DISTRITO DE QUEBRA COCO","0000444685","eSF","1484"
"MS","500790","SIDROLÂNDIA","2370883","CENTRO DE SAUDE DE SIDROLANDIA","0001687670","eSF","2537"
"MS","500793","SONORA","2376911","UNIDADE DE SAUDE DA FAMILIA DE SONORA","0000444855","eSF","4671"
"MS","500793","SONORA","3236455","UNIDADE DE SAUDE DA FAMILIA BOM FUTURO","0000444898","eSF","3673"
"MS","500793","SONORA","7775318","UNIDADE DE SAUDE DA FAMILIA JOSE DA SILVA","0001581813","eSF","812"
"MS","500795","TACURU","5683386","UNIDADE BASICA DE SAUDE DA FAMILIA AURELIANO DURE","0000444928","eSF","2130"
"MS","500830","TRÊS LAGOAS","2757087","UNIDADE DE SAUDE DA FAMILIA JUPIA","0000445053","eSF","1903"
"MS","500345","DEODÁPOLIS","2558823","ESTRATEGIA DE SAUDE DA FAMILIA SANTO ANTONIO","0000441546","eSF","3107"
"MS","500348","DOIS IRMÃOS DO BURITI","7551827","UNIDADE BASICA DE SAUDE BAIRRO VILA NOVA","0000441600","eSF","2616"
"MS","500370","DOURADOS","2710838","UNIDADE BASICA DE SAUDE ALTAIR RAMIRES DE SOUZA DONA NEGA","0000441686","eSF","2348"
"MS","500370","DOURADOS","2710862","UNIDADE BASICA DE SAUDE DR MOACIR STEIN ARRUDA","0000441716","eSF","3837"
"MS","500370","DOURADOS","2710862","UNIDADE BASICA DE SAUDE DR MOACIR STEIN ARRUDA","0000441732","eSF","2417"
"MS","500370","DOURADOS","2711044","UNIDADE BASICA DE SAUDE ANTONIA MARQUES VILA VARGAS","0000441848","eSF","2807"
"MS","500370","DOURADOS","2711125","UNIDADE BASICA DE SAUDE PARQUE DAS NACOES II","0000441988","eSF","3115"
"MS","500370","DOURADOS","3239837","UNIDADE BASICA DE SAUDE ANTONIO DA COSTA CARVALHO","0000442054","eSF","3975"
"MS","500370","DOURADOS","5592615","UNIDADE BASICA DE SAUDE DR JOAQUIM LOURENCO FILHO","0000442143","eSF","4789"
"MS","500500","JARDIM","7575211","DELEGACIA DE POLICIA CIVIL","0001551973","eAPP","13"
"MS","500270","CAMPO GRANDE","0010308","SESAU USF DR JORGE DAVID NASSER JOCKEY CLUB","0000439363","-","4254"
"MS","500270","CAMPO GRANDE","0010308","SESAU USF DR JORGE DAVID NASSER JOCKEY CLUB","0000439371","-","3912"
"MS","500270","CAMPO GRANDE","0010367","SESAU UBS DR CELSO LACERDA DE AZEVEDO PIONEIRA","0000439517","-","3433"
"MS","500270","CAMPO GRANDE","0024449","SESAU UBS DR JOAO PEREIRA DA ROSA AERO RANCHO","0000439738","-","3871"
"MS","500830","TRÊS LAGOAS","6158323","ESTABELECIMENTO PENAL MASCULINO DE TRES LAGOAS","0002246821","eAPP","0"
"MS","500090","ANTÔNIO JOÃO","2710625","ESF SALVANI SIMPLICIO FREITAS","0001687093","eAPP","1"
"MS","500740","RIO VERDE DE MATO GROSSO","0650196","UNIDADE DE SAUDE PRISIONAL DE RIO VERDE","0002175177","eAPP","0"
"MS","500270","CAMPO GRANDE","2874474","SESAU USF SANTA EMILIA","0002252171","-","1"
"MS","500270","CAMPO GRANDE","0378704","PENITENCIARIA ESTADUAL MASCULINA REGIME FECHADO DA GAMELEIRA","0002222248","eAPP","0"
"MS","500295","CHAPADÃO DO SUL","7549903","UNIDADE ESTRATEGIA DA SAUDE DA FAMILIA CENTRAL","0001550403","eAPP","241"
"MS","500790","SIDROLÂNDIA","5134609","PSF CLEIDE PIRAN","0001556215","eAPP","156"
"MS","500230","BRASILÂNDIA","2710730","UNIDADE SAUDE DA FAMILIA II DE BRASILANDIA","0001545094","eAPP","50"
"MS","500720","RIO BRILHANTE","6229387","PENITENCIARIA FEMININA DE RIO BRILHANTE","0001550381","eAPP","212"
"MS","500769","SÃO GABRIEL DO OESTE","6225616","ESTABELECIMENTO PENAL FEMININO DE SAO GABRIEL DO OESTE","0001543091","eAPP","150"
"MS","500290","CASSILÂNDIA","5608813","UNIDADE BASICA DE SAUDE DO SISTEMA PRISIONAL","0000440922","eAPP","454"
"MS","500270","CAMPO GRANDE","9518231","ESTAB PENAL DE SEGURANCA MAXIMA JAIR FERREIRA DE CARVALHO","0001662392","eAPP","1956"
"MS","500270","CAMPO GRANDE","6918956","PENITENCIARIA FEDERAL DE CAMPO GRANDE MS","0000440590","eAPP","0"
"MS","500755","SANTA RITA DO PARDO","3010708","ESTRATEGIA DE SAUDE DA FAMILIA JOSE GISFREDO","0000444456","eSF","3482"
"MS","500793","SONORA","2376938","UNIDADE BASICA DE SAUDE DE SONORA","0000444863","eAP-30h","2037"
"MS","500510","JATEÍ","2620146","UNIDADE DE SAUDE DA FAMILIA DE JATEI","0000442895","eSF","2924"
"MS","500580","NIOAQUE","2611953","UNIDADE DE SAUDE DA FAMILIA COLONIA CONCEICAO","0000443417","eSF","2156"
"MS","500060","AMAMBAI","2611961","UNIDADE DE SAUDE DA FAMILIA VILA GLORIA","0000437727","eSF","3154"
"MS","500270","CAMPO GRANDE","0301825","SESAU USF DRA REGIA JUSSARA F DE BARROS AERO RANCHO GRANJA","0002127350","eSF","3577"
"MS","500270","CAMPO GRANDE","3334406","SESAU USF NOVA ESPERANCA","0000440337","eSF","3578"
"MS","500380","FÁTIMA DO SUL","2536730","ESTRATEGIA SAUDE DA FAMILIA VILA EDUCACIONAL","0000442267","eSF","4389"
"MS","500430","IGUATEMI","2482592","UNIDADE DE SAUDE DA FAMILIA VILA OPERARIA","0000442410","eSF","3514"
"MS","500450","ITAPORÃ","2361450","UNIDADE DE SAUDE DA FAMILIA COPACABANA","0000442542","eSF","1914"
"MS","500500","JARDIM","2376431","UNIDADE BASICA DE SAUDE NESTOR PEREIRA","0000442844","eSF","3957"
"MS","500270","CAMPO GRANDE","0010286","SESAU USF DR OLIMPIO CAVALHEIRO COHAB","0000439320","eSF","4379"
"MS","500270","CAMPO GRANDE","9230246","SESAU USF DR SYRZIL WILSON MAKSOUD SIRIO LIBANES","0000439355","eSF","4172"
"MS","500270","CAMPO GRANDE","0010421","SESAU USF DRA MARLY ANNA TATTON BERG G PEREIRA MARABA","0000439576","eSF","4474"
"MS","500270","CAMPO GRANDE","0021679","SESAU USF DRA MARIA JOSE DE PAULI TRES BARRAS","0000439592","eSF","1701"
"MS","500270","CAMPO GRANDE","0024457","SESAU USF DR ANTONIO PEREIRA TIRADENTES","0000439762","eSF","2180"
"MS","500270","CAMPO GRANDE","9013415","SESAU USF PEDRO FELIX DE SOUZA PARADISO","0001678469","eSF","2754"
"MS","500270","CAMPO GRANDE","9443525","SESAU USF BENEDITO MARTINS GONCALVES OLIVEIRA II","0001667939","eSF","3542"
"MS","500600","NOVA ALVORADA DO SUL","2482584","UNIDADE BASICA DE SAUDE DA FAMILIA LEONORA DIAS BRITO","0000443484","eSF","2250"
"MS","500620","NOVA ANDRADINA","2612038","ESF CENTRO EDUCACIONAL","0000443549","eSF","4468"
"MS","500620","NOVA ANDRADINA","2612046","ESF SAO VICENTE","0000443557","eSF","4426"
"MS","500620","NOVA ANDRADINA","6669239","ESF VILA BEATRIZ","0000443638","eSF","4436"
"MS","500625","NOVO HORIZONTE DO SUL","2599449","PROGRAMA SAUDE DA FAMILIA NOVO HORIZONTINO","0000443646","eSF","3313"
"MS","500630","PARANAÍBA","2536412","UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA","0000443700","eSF","2918"
"MS","500630","PARANAÍBA","3050319","UNIDADE SAUDE DA FAMILIA SANTO ANTONIO","0000443786","eSF","3260"
"MS","500520","LADÁRIO","7111592","UNIDADE BASICA DE SAUDE JOAQUIM DA COSTA E FARIA","0000443034","eSF","2119"
"MS","500540","MARACAJU","7752431","UBS SR MIGUEL PEDROSO FERREIRA ESF EGIDIO RIBEIRO","0001579541","eSF","4636"
"MS","500060","AMAMBAI","2591413","UNIDADE DE SAUDE CENTRAL","0001544691","eSF","3103"
"MS","500660","PONTA PORÃ","2361000","UNIDADE BASICA DE SAUDE DA FAMILIA SANGA PUITA JOSE BATAGLIN","0000443905","eSF","5244"
"MS","500660","PONTA PORÃ","9042849","UNIDADE BASICA DE SAUDE DA FAMILIA DR JOSE ISSA","0000443972","eSF","5912"
"MS","500660","PONTA PORÃ","2651572","UNIDADE BASICA DE SAUDE DA FAMILIA NEUSA MARIA PEREIRA","0000443980","eSF","5753"
"MS","500660","PONTA PORÃ","3830497","UNIDADE BASICA DE SAUDE DA FAMILIA JOSE ALBERTO F NEVES","0000443999","eSF","6237"
"MS","500660","PONTA PORÃ","5911192","UNIDADE DE SAUDE DA FAMILIA DR PEDRO MONTEIRO DE ALMEIDA","0000444030","eSF","6081"
"MS","500660","PONTA PORÃ","9075062","UNIDADE DE SAUDE DA FAMILIA ENFERMEIRA ELIZA MEDINA BARRETO","0001635379","eSF","5013"
"MS","500660","PONTA PORÃ","0998400","UNIDADE BASICA DA FAMILIA KAMEL SAAD","0001635360","eSF","4173"
"MS","500710","RIBAS DO RIO PARDO","2536943","ESTRATEGIA DE SAUDE DA FAMILIA MIGUEL PEREIRA DA SILVA","0000444146","eSF","3716"
"MS","500260","CAMAPUÃ","2536560","UNIDADE DE SAUDE DA FAMILIA V VILA INDUSTRIAL","0000438847","eSF","1324"
"MS","500260","CAMAPUÃ","6375006","UNIDADE DE SAUDE DA FAMILIA VI RURAL","0000438901","eSF","3106"
"MS","500270","CAMPO GRANDE","0010146","SESAU USF DR ADEMAR GUEDES DE SOUZA MATA DO JACINTO","0000439002","eSF","5396"
"MS","500270","CAMPO GRANDE","0010197","SESAU USF DR SUMIE IKEDA RODRIGUES SERRADINHO","0000439150","eSF","4222"
"MS","500270","CAMPO GRANDE","0010200","SESAU USF DR HIROSE ADANIA BONANCA","0000439185","eSF","3256"
"MS","500270","CAMPO GRANDE","0010219","SESAU USF MANOEL SECCO THOME INDUBRASIL","0000439193","eSF","3101"
"MS","500270","CAMPO GRANDE","9439919","SESAU USF VILA COX SANTA LUZIA","0000439231","eSF","2783"
"MS","500270","CAMPO GRANDE","0010278","SESAU USF MARIA APARECIDA PEDROSSIAN","0000439290","eSF","4093"
"MS","500830","TRÊS LAGOAS","2757168","UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA","0000445207","eSF","2539"
"MS","500830","TRÊS LAGOAS","2757079","UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA","0001691414","eSF","5418"
"MS","500830","TRÊS LAGOAS","9390693","UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA","0001685465","eSF","3386"
"MS","500070","ANASTÁCIO","2558777","ESTRATEGIA DE SAUDE DA FAMILIA VILA UMBELINA","0000437840","eSF","3223"
"MS","500080","ANAURILÂNDIA","2376679","ESTRATEGIA SAUDE DA FAMILIA 1 LUIZ RAMIRO DA SILVA","0000437948","eSF","1323"
"MS","500100","APARECIDA DO TABOADO","6592910","ESF CENTRAL","0000438138","eSF","5306"
"MS","500110","AQUIDAUANA","2360217","UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO","0000438162","eSF","3055"
"MS","500110","AQUIDAUANA","2659662","UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA","0000438189","eSF","3140"
"MS","500720","RIO BRILHANTE","3865657","ESTRATEGIA SAUDE DA FAMILIA CARLOS VOLPE","0000444251","eSF","3526"
"MS","500740","RIO VERDE DE MATO GROSSO","2375915","UNIDADE DE SAUDE DA FAMILIA CENTRO RIO VERDE","0000444359","eSF","2621"
"MS","500769","SÃO GABRIEL DO OESTE","2370999","UNIDADE DE SAUDE DA FAMILIA FENIX IV","0000444502","eSF","4157"
"MS","500270","CAMPO GRANDE","0021792","SESAU USF DR BENTO DE ASSIS MACHADO ANHANDUI","0002163845","eSF","1303"
"MS","500295","CHAPADÃO DO SUL","7549903","UNIDADE ESTRATEGIA DA SAUDE DA FAMILIA CENTRAL","0001542990","eSF","5170"
"MS","500320","CORUMBÁ","0456462","UNIDADE BASICA DE SAUDE DR WALTER VICTORIO","0000441112","eSF","4707"
"MS","500320","CORUMBÁ","6564070","UNIDADE BASICA DE SAUDE ANGELICA ANACHE","0000441295","eSF","3797"
"MS","500320","CORUMBÁ","9191801","UNIDADE BASICA DE SAUDE JARDIM DOS ESTADOS","0001547852","eSF","3517"
"MS","500270","CAMPO GRANDE","6585612","SESAU USF AQUINO DIAS BEZERRA VIDA NOVA","0000440531","eSF","3893"
"MS","500270","CAMPO GRANDE","0028827","SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA","0001508326","eSF","3938"
"MS","500270","CAMPO GRANDE","0024341","SESAU USF EDSON QUINTINO MENDES JARDIM ITAMARACA","0001482378","eSF","2436"
"MS","500270","CAMPO GRANDE","0028827","SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA","0000439908","eSF","3599"
"MS","500270","CAMPO GRANDE","0028835","SESAU USF DR BENJAMIM ASATO PARQUE DO SOL","0000439940","eSF","3165"
"MS","500270","CAMPO GRANDE","0028851","SESAU USF ALFREDO NEDER COOPHAVILA II","0000440000","eSF","2651"
"MS","500270","CAMPO GRANDE","2752530","SESAU CF DRA MARCIA DE SA EARP NOVA LIMA","0000440035","eSF","3709"
"MS","500270","CAMPO GRANDE","3051374","SESAU USF DRA ALDA GUEDES GARCIA OLIVEIRA JARDIM AZALEIA","0000440159","eSF","2641"
"MS","500270","CAMPO GRANDE","3051927","SESAU USF DR JURANDYR DE CASTRO COIMBRA ZE PEREIRA","0000440175","eSF","3092"
"MS","500110","AQUIDAUANA","7525877","UNIDADE DE SAUDE DA FAMILIA MODESTO PEREIRA","0001536605","eSF","1274"
"MS","500190","BATAGUASSU","5734592","ESF DR RUBENS KIMURA","0000438421","eSF","5814"
"MS","500215","BODOQUENA","2676737","ESF 01 DR MARCIA LUIZA APARECIDA PATERLINI","0000438642","eSF","2955"
"MS","500220","BONITO","5677467","ESF DA VILA AMERICA","0000438685","eSF","4597"
"MS","500220","BONITO","6416225","UNIDADE DE SAUDE DA FAMILIA DO CENTRO","0000438693","eSF","4220"
"MS","500780","SELVÍRIA","6625169","ESF III ESTRETEGIA DA FAMILIA RURAL","0000444669","eSF","1505"
"MS","500795","TACURU","2611988","UNIDADE DE SAUDE DA FAMILIA DE TACURU NAIR MARIA BRESSAN","0000444901","eSF","2964"
"MS","500797","TAQUARUSSU","7498454","ESTRATEGIA DE SAUDE DA FAMILIA II","0001528653","eSF","1488"
"MS","500800","TERENOS","5337135","POSTO DE SAUDE DA FAMILIA UNIDADE VILA JAMIL","0000444979","eSF","4279"
"MS","500830","TRÊS LAGOAS","2757060","UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA","0000445037","eSF","3579"
"MS","500330","COXIM","0491977","ILDA APARECIDA COMETKI SAO JOSE","0000441422","eSF","3540"
"MS","500350","DOURADINA","2536714","UNIDADE SAUDE LAR DE DOURADINA","0000441643","eSF","2377"
"MS","500370","DOURADOS","2710854","UNIDADE BASICA DE SAUDE DR JULVIS ARRUDA MATOS IV PLANO","0000441708","eSF","3170"
"MS","500370","DOURADOS","2711052","UNIDADE BASICA DE SAUDE FREI HUGOLINO BECKER","0000441856","eSF","2696"
"MS","500370","DOURADOS","2711079","UNIDADE BASICA DE SAUDE JARDIM PIRATININGA","0000441872","eSF","3637"
