"Uf","IBGE","Municipio","CNES","Estabelecimento","INE","Sigla da equipe","Populaçao"
"MS","500370","DOURADOS","5592607","UNIDADE BASICA DE SAUDE LEVY SCHAUSTZ CABECEIRA ALEGRE","0001524291","eSF","3580"
"MS","500370","DOURADOS","5592593","UNIDADE BASICA DE SAUDE DRA HELENA YOSHIE MORIBE","0001623109","eSF","3145"
"MS","500430","IGUATEMI","2374331","UNIDADE DE SAUDE DA FAMILIA VILA ROSA","0000442402","eSF","4763"
"MS","500510","JATEÍ","2646803","UNIDADE DE SAUDE DA FAMILIA GLEBA NOVA ESPERANCA","0000442909","eSF","1519"
"MS","500640","PEDRO GOMES","2676885","UNIDADE SAUDE DA FAMILIA DO CENTRO DE SAUDE","0000443891","eSF","3432"
"MS","500660","PONTA PORÃ","5870178","UNIDADE BASICA DE SAUDE DA FAMILIA DR NERY DE AZAMBUJA","0000444022","eSF","5193"
"MS","500660","PONTA PORÃ","5683238","UNIDADE BASICA DE SAUDE DA FAMILIA ROSANGELA PEREIRA SILVA","0000444014","eSF","5605"
"MS","500790","SIDROLÂNDIA","2370840","SAUDE LAR DO DISTRITO DE QUEBRA COCO","0000444685","eSF","1436"
"MS","500830","TRÊS LAGOAS","2757087","UNIDADE DE SAUDE DA FAMILIA JUPIA","0000445053","eSF","1653"
"MS","500830","TRÊS LAGOAS","2757168","UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA","0001691694","eSF","2943"
"MS","500070","ANASTÁCIO","6625452","ESTRATEGIA DE SAUDE DA FAMILIA BENTA VIEIRA DE ARRUDA","0000437891","eSF","2234"
"MS","500190","BATAGUASSU","9060588","ESF LUCIO FERREIRA ROSA","0001612301","eSF","3768"
"MS","500210","BELA VISTA","2710633","ESF DR RUBENS ALBERTO ABOTT DE CASTRO PINTO AGUA DOCE","0000438561","eSF","3075"
"MS","500215","BODOQUENA","2676745","UNIDADE BASICA DE SAUDE JESUINO ORMUNDO","0000438650","eSF","1861"
"MS","500270","CAMPO GRANDE","0010138","SESAU USF DRA ELEONORA M QUEVEDO SILVIA REGINA","0000438979","eSF","3948"
"MS","500540","MARACAJU","2470659","UBS VITORIA MARCONDES TERRA ESF JOSE ALVES MARCONDES","0000443085","eSF","2776"
"MS","500540","MARACAJU","5304830","UBS ESF BALBINO CORREIA DE LIMA","0000443123","eSF","5113"
"MS","500580","NIOAQUE","2376342","UNIDADE DE SAUDE FAMILIA UIRAPURU","0000443409","eSF","897"
"MS","500600","NOVA ALVORADA DO SUL","2482517","UNIDADE BASICA DE SAUDE DA FAMILIA IZABEL MENEZES COELHO","0000443476","eSF","4460"
"MS","500620","NOVA ANDRADINA","3881032","ESF CENTRO","0000443611","eSF","4626"
"MS","500630","PARANAÍBA","3050270","UNIDADE SAUDE DA FAMILIA SANTA LUCIA","0000443743","eSF","2159"
"MS","500660","PONTA PORÃ","7281986","UNIDADE BASICA DE SAUDE DA FAMILIA JOSE ALBERTO VIEIRA BOCH","0001512390","eSF","5646"
"MS","500720","RIO BRILHANTE","2804522","ESTRATEGIA SAUDE DA FAMILIA RURAL","0000444227","eSF","1808"
"MS","500750","ROCHEDO","2376067","UNIDADE DE SAUDE DA FAMILIA DE ROCHEDO","0000444421","eSF","4593"
"MS","500793","SONORA","7775318","UNIDADE DE SAUDE DA FAMILIA JOSE DA SILVA","0001581813","eSF","774"
"MS","500215","BODOQUENA","9130462","UNIDADE DE SAUDE DR LAURO GOULART","0001617524","eSF","3345"
"MS","500260","CAMAPUÃ","6375022","UNIDADE DE SAUDE DA FAMILIA II VILA IZOLINA","0000438936","eSF","2245"
"MS","500270","CAMPO GRANDE","2874474","SESAU USF JEFERSON RODRIGUES DE SOUZA SANTA EMILIA","0000439045","eSF","3661"
"MS","500270","CAMPO GRANDE","0010197","SESAU USF DR SUMIE IKEDA RODRIGUES SERRADINHO","0000439169","eSF","4122"
"MS","500124","ARAL MOREIRA","3276740","POSTO DE SAUDE VISTA ALEGRE","0001512498","eSF","1276"
"MS","500190","BATAGUASSU","2371014","UNIDADE DE SAUDE JD SAO FRANCISCO","0000438383","eSF","3622"
"MS","500230","BRASILÂNDIA","9139249","UNIDADE BASICA DE SAUDE JOSE FRANCISCO MARQUES NETO","0000438758","eSF","2880"
"MS","500270","CAMPO GRANDE","7096887","SESAU USF DR NELSON TOKUEI SIMABUKURO AERO RANCHO IV","0000440604","eSF","3856"
"MS","500270","CAMPO GRANDE","9983449","SESAU USF DR CARLOS A JURGIELEWCZ CRISTO REDENTOR","0001717359","eSF","3451"
"MS","500270","CAMPO GRANDE","0028789","SESAU USF DR JUDSON TADEU RIBAS MORENINHA III","0001705792","eSF","3144"
"MS","500568","MUNDO NOVO","2536846","UNIDADE DE SAUDE DA FAMILIA II MUNDO NOVO","0000443247","eSF","4920"
"MS","500568","MUNDO NOVO","3463567","UNIDADE DE SAUDE DA FAMILIA III","0000443255","eSF","2571"
"MS","500570","NAVIRAÍ","5322804","ESF RONAN MARQUES","0000443301","eSF","4401"
"MS","500570","NAVIRAÍ","9912835","ESF IPE","0001687301","eSF","2845"
"MS","500620","NOVA ANDRADINA","2612062","ESF IRMAN RIBEIRO","0000443573","eSF","4790"
"MS","500620","NOVA ANDRADINA","3881032","ESF CENTRO","0001711717","eSF","3106"
"MS","500793","SONORA","3236455","UNIDADE DE SAUDE DA FAMILIA BOM FUTURO","0000444898","eSF","3663"
"MS","500795","TACURU","5683386","UNIDADE BASICA DE SAUDE DA FAMILIA AURELIANO DURE","0000444928","eSF","2229"
"MS","500270","CAMPO GRANDE","7568835","SESAU USF MARIA IVONE DE O NASCIMENTO ARAKAKI VILA FERNANDA","0001644483","eSF","3172"
"MS","500270","CAMPO GRANDE","3051374","SESAU USF DRA ALDA GUEDES GARCIA OLIVEIRA JARDIM AZALEIA","0001644769","eSF","3317"
"MS","500270","CAMPO GRANDE","3023737","SESAU USF VILA CORUMBA","0000440086","eSF","5024"
"MS","500800","TERENOS","2676559","ESF VILA FERREIRA","0000444952","eSF","4939"
"MS","500370","DOURADOS","2710838","UNIDADE BASICA DE SAUDE ALTAIR RAMIRES DE SOUZA DONA NEGA","0000441686","eSF","2561"
"MS","500370","DOURADOS","2711044","UNIDADE BASICA DE SAUDE ANTONIA MARQUES VILA VARGAS","0000441848","eSF","2778"
"MS","500380","FÁTIMA DO SUL","2599392","ESTRATEGIA SAUDE DA FAMILIA JARDIM O PIONEIRO","0000442305","eSF","3497"
"MS","500430","IGUATEMI","5342244","UNIDADE DE SAUDE DA FAMILIA ASSENTAMENTO AUXILIADORA","0000442445","eSF","1877"
"MS","500490","JARAGUARI","2651467","UNIDADE DE SAUDE FAMILIA I","0001483129","eSF","1767"
"MS","500620","NOVA ANDRADINA","2600374","ESF MORADA DO SOL","0000443530","eSF","4460"
"MS","500620","NOVA ANDRADINA","0187941","ESF UNIVERSITARIO","0002022532","eSF","3426"
"MS","500630","PARANAÍBA","5927056","UNIDADE SAUDE DA FAMILIA HILDA DA SILVA OLIVEIRA","0000443808","eSF","3999"
"MS","500270","CAMPO GRANDE","3051358","SESAU USF DR WAGNER JOSE BORTOTTO GARCIA MARIO COVAS","0000440124","eSF","3907"
"MS","500270","CAMPO GRANDE","0028835","SESAU USF DR BENJAMIM ASATO PARQUE DO SOL","0000439975","eSF","3690"
"MS","500769","SÃO GABRIEL DO OESTE","2599376","UNIDADE DE SAUDE DA FAMILIA VI","0000444529","eSF","3862"
"MS","500793","SONORA","2376911","UNIDADE DE SAUDE DA FAMILIA DE SONORA","0000444855","eSF","4640"
"MS","500270","CAMPO GRANDE","0024422","SESAU USF DR ALBINO COIMBRA SANTA CARMELIA","0001614843","eSF","4033"
"MS","500295","CHAPADÃO DO SUL","2559013","UNIDADE DE SAUDE DA FAMILIA SAUDE LAR","0000440957","eSF","4944"
"MS","500270","CAMPO GRANDE","3080021","SESAU USF DR EMILIO GARBELOTI NETO TARUMA","0000440191","eSF","2911"
"MS","500270","CAMPO GRANDE","6585612","SESAU USF AQUINO DIAS BEZERRA VIDA NOVA","0000440566","eSF","3947"
"MS","500270","CAMPO GRANDE","7096895","SESAU USF DR HELIO MARTINS COELHO BATISTAO","0000440647","eSF","4062"
"MS","500270","CAMPO GRANDE","7096895","SESAU USF DR HELIO MARTINS COELHO BATISTAO","0001707906","eSF","3884"
"MS","500270","CAMPO GRANDE","9022007","SESAU USF ANA MARIA DO COUTO","0001482602","eSF","3721"
"MS","500270","CAMPO GRANDE","0010413","SESAU USF DR SONI LYDIA SOUZA WOLF MACAUBAS","0001644718","eSF","3449"
"MS","500280","CARACOL","2620138","ESF LIDIANE DE OLIVEIRA GARDIN GALEANO","0000440825","eSF","2558"
"MS","500290","CASSILÂNDIA","2375710","UNIDADE BASICA DE SAUDE DR ANTONIO TEIXEIRA DE LIMA","0000440833","eSF","3132"
"MS","500320","CORUMBÁ","2376105","UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS","0000441074","eSF","4589"
"MS","500370","DOURADOS","2710862","UNIDADE BASICA DE SAUDE DR MOACIR STEIN ARRUDA","0000441716","eSF","3451"
"MS","500370","DOURADOS","2711125","UNIDADE BASICA DE SAUDE PARQUE DAS NACOES II","0000441988","eSF","3222"
"MS","500370","DOURADOS","5592607","UNIDADE BASICA DE SAUDE LEVY SCHAUSTZ CABECEIRA ALEGRE","0000442127","eSF","3521"
"MS","500410","GUIA LOPES DA LAGUNA","2376229","UNIDADE DE SAUDE DA FAMILIA RANOLFO PEREIRA DA SILVA","0000442372","eSF","3627"
"MS","500270","CAMPO GRANDE","0301825","SESAU USF DRA REGIA JUSSARA F DE BARROS AERO RANCHO GRANJA","0002127342","eSF","4558"
"MS","500320","CORUMBÁ","2591405","UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO","0000441228","eSF","4342"
"MS","500370","DOURADOS","3239837","UNIDADE BASICA DE SAUDE ANTONIO DA COSTA CARVALHO","0000442054","eSF","4518"
"MS","500370","DOURADOS","5592615","UNIDADE BASICA DE SAUDE DR JOAQUIM LOURENCO FILHO","0000442143","eSF","5005"
"MS","500375","ELDORADO","5395062","PROGRAMA DE SAUDE DA FAMILIA OSVALDO TURQUINO","0000442259","eSF","4570"
"MS","500400","GLÓRIA DE DOURADOS","2376504","UNIDADE BASICA DE SAUDE DE GLORIA DE DOURADOS","0000442348","eSF","3688"
"MS","500440","INOCÊNCIA","2536803","UESF SEBASTIAO FRANCISCO RAMOS","0000442488","eSF","2985"
"MS","500085","ANGÉLICA","2376601","ESF DR MARCIO ROGERIO CAMARGO","0000437980","eSF","1638"
"MS","500085","ANGÉLICA","6958451","ESF LAURO DOMINGOS DE SOUZA","0000438006","eSF","2827"
"MS","500100","APARECIDA DO TABOADO","5884179","ESF JARDIM DAS FLORES","0000438111","eSF","7396"
"MS","500124","ARAL MOREIRA","2591391","POSTO DE SAUDE ELIANA FERREIRA MACHADO","0000438332","eSF","1696"
"MS","500200","BATAYPORÃ","2376733","ESTRATEGIA DE SAUDE DA FAMILIA SAO LUIZ","0000438502","eSF","1009"
"MS","500270","CAMPO GRANDE","0010367","SESAU UBS DR CELSO LACERDA DE AZEVEDO PIONEIRA","0000439517","-","3693"
"MS","500270","CAMPO GRANDE","0024449","SESAU UBS DR SEBASTIAO ELOY PEREIRA JARDIM AERO RANCHO","0000439738","-","3776"
"MS","500500","JARDIM","7575211","DELEGACIA DE POLICIA CIVIL","0001551973","eAPP","13"
"MS","500560","MIRANDA","2710641","UNIDADE DE SAUDE DA FAMILIA BEIRA RIO","0002302640","-","0"
"MS","500270","CAMPO GRANDE","0010308","SESAU USF DR JORGE DAVID NASSER JOCKEY CLUB","0000439363","-","3818"
"MS","500270","CAMPO GRANDE","0010308","SESAU USF DR JORGE DAVID NASSER JOCKEY CLUB","0000439371","-","2884"
"MS","500375","ELDORADO","5395062","PROGRAMA DE SAUDE DA FAMILIA OSVALDO TURQUINO","0002270498","eAPP","1"
"MS","500295","CHAPADÃO DO SUL","7549903","UNIDADE ESTRATEGIA DA SAUDE DA FAMILIA CENTRAL","0001550403","eAPP","464"
"MS","500720","RIO BRILHANTE","6229387","PENITENCIARIA FEMININA DE RIO BRILHANTE","0001550381","eAPP","212"
"MS","500769","SÃO GABRIEL DO OESTE","6225616","ESTABELECIMENTO PENAL FEMININO DE SAO GABRIEL DO OESTE","0001543091","eAPP","134"
"MS","500790","SIDROLÂNDIA","5134609","PSF CLEIDE PIRAN","0001556215","eAPP","158"
"MS","500290","CASSILÂNDIA","5608813","UNIDADE BASICA DE SAUDE DO SISTEMA PRISIONAL","0000440922","eAPP","540"
"MS","500270","CAMPO GRANDE","6918956","PENITENCIARIA FEDERAL DE CAMPO GRANDE MS","0000440590","eAPP","4"
"MS","500270","CAMPO GRANDE","9518231","ESTAB PENAL DE SEGURANCA MAXIMA JAIR FERREIRA DE CARVALHO","0001662392","eAPP","1543"
"MS","500570","NAVIRAÍ","2374285","EAP PORTO CAIUA","0002255111","eAP","119"
"MS","500627","PARAÍSO DAS ÁGUAS","7233477","POSTO DE SAUDE OLI GARCIA LEAL","0002270277","eAP","458"
"MS","500090","ANTÔNIO JOÃO","2710625","ESF SALVANI SIMPLICIO FREITAS","0001687093","eAPP","5"
"MS","500830","TRÊS LAGOAS","6158323","ESTABELECIMENTO PENAL MASCULINO DE TRES LAGOAS","0002246821","eAPP","363"
"MS","500755","SANTA RITA DO PARDO","3010708","ESTRATEGIA DE SAUDE DA FAMILIA JOSE GISFREDO","0000444456","eSF","3708"
"MS","500270","CAMPO GRANDE","3499642","SESAU USF DR NASRI SIUFI JARDIM PRESIDENTE","0002282097","eSF","2133"
"MS","500793","SONORA","2376938","UNIDADE BASICA DE SAUDE DE SONORA","0000444863","eAP-30h","2406"
"MS","500797","TAQUARUSSU","7498454","ESTRATEGIA DE SAUDE DA FAMILIA II","0001528653","eSF","1210"
"MS","500320","CORUMBÁ","9191801","UNIDADE BASICA DE SAUDE JARDIM DOS ESTADOS","0001547852","eSF","3315"
"MS","500370","DOURADOS","2710854","UNIDADE BASICA DE SAUDE DR JULVIS ARRUDA MATOS IV PLANO","0000441708","eSF","3340"
"MS","500450","ITAPORÃ","2361450","UNIDADE DE SAUDE DA FAMILIA COPACABANA","0000442542","eSF","1903"
"MS","500540","MARACAJU","7752431","UBS SR MIGUEL PEDROSO FERREIRA ESF EGIDIO RIBEIRO","0001579541","eSF","4542"
"MS","500620","NOVA ANDRADINA","6669239","ESF VILA BEATRIZ","0000443638","eSF","4441"
"MS","500510","JATEÍ","2620146","UNIDADE DE SAUDE DA FAMILIA DE JATEI","0000442895","eSF","3118"
"MS","500660","PONTA PORÃ","9042849","UNIDADE BASICA DE SAUDE DA FAMILIA DR JOSE ISSA","0000443972","eSF","6230"
"MS","500660","PONTA PORÃ","0998400","UNIDADE BASICA DA FAMILIA KAMEL SAAD","0001635360","eSF","4393"
"MS","500270","CAMPO GRANDE","9230246","SESAU USF DR SYRZIL WILSON MAKSOUD SIRIO LIBANES","0000439355","eSF","4048"
"MS","500660","PONTA PORÃ","9075062","UNIDADE DE SAUDE DA FAMILIA ENFERMEIRA ELIZA MEDINA BARRETO","0001635379","eSF","5135"
"MS","500740","RIO VERDE DE MATO GROSSO","2375915","UNIDADE DE SAUDE DA FAMILIA CENTRO RIO VERDE","0000444359","eSF","2511"
"MS","500830","TRÊS LAGOAS","2757168","UNIDADE DE SAUDE DA FAMILIA VILA PILOTO ADRIANA CRISTINA","0000445207","eSF","2609"
"MS","500830","TRÊS LAGOAS","2757079","UNIDADE DE SAUDE DA FAMILIA JOEL NEVES SILVA","0001691414","eSF","5351"
"MS","500830","TRÊS LAGOAS","9390693","UNIDADE DE SAUDE DA FAMILIA JARDIM ATENAS BISPO DOM MOREIRA","0001685465","eSF","3579"
"MS","500110","AQUIDAUANA","2659662","UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA","0000438189","eSF","3161"
"MS","500190","BATAGUASSU","5734592","ESF DR RUBENS KIMURA","0000438421","eSF","5410"
"MS","500220","BONITO","6416225","UNIDADE DE SAUDE DA FAMILIA DO CENTRO","0000438693","eSF","4874"
"MS","500270","CAMPO GRANDE","0021679","SESAU USF DRA MARIA JOSE DE PAULI TRES BARRAS","0000439592","eSF","1775"
"MS","500270","CAMPO GRANDE","0028827","SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA","0000439908","eSF","4039"
"MS","500270","CAMPO GRANDE","0028835","SESAU USF DR BENJAMIM ASATO PARQUE DO SOL","0000439940","eSF","2709"
"MS","500580","NIOAQUE","2611953","UNIDADE DE SAUDE DA FAMILIA COLONIA CONCEICAO","0000443417","eSF","1987"
"MS","500600","NOVA ALVORADA DO SUL","2482584","UNIDADE BASICA DE SAUDE DA FAMILIA LEONORA DIAS BRITO","0000443484","eSF","2353"
"MS","500620","NOVA ANDRADINA","2612038","ESF CENTRO EDUCACIONAL","0000443549","eSF","4242"
"MS","500620","NOVA ANDRADINA","2612046","ESF SAO VICENTE","0000443557","eSF","4282"
"MS","500630","PARANAÍBA","3050319","UNIDADE SAUDE DA FAMILIA SANTO ANTONIO","0000443786","eSF","3697"
"MS","500660","PONTA PORÃ","2651572","UNIDADE BASICA DE SAUDE DA FAMILIA NEUSA MARIA PEREIRA","0000443980","eSF","6177"
"MS","500660","PONTA PORÃ","3830497","UNIDADE BASICA DE SAUDE DA FAMILIA JOSE ALBERTO F NEVES","0000443999","eSF","6181"
"MS","500795","TACURU","2611988","UNIDADE DE SAUDE DA FAMILIA DE TACURU NAIR MARIA BRESSAN","0000444901","eSF","3066"
"MS","500830","TRÊS LAGOAS","2757060","UNIDADE DE SAUDE DA FAMILIA INTERLAGOS GABRIEL MARQUES FERNA","0000445037","eSF","3365"
"MS","500215","BODOQUENA","2676737","ESF 01 DR MARCIA LUIZA APARECIDA PATERLINI","0000438642","eSF","3285"
"MS","500270","CAMPO GRANDE","0010197","SESAU USF DR SUMIE IKEDA RODRIGUES SERRADINHO","0000439150","eSF","3992"
"MS","500270","CAMPO GRANDE","9439919","SESAU USF VILA COX SANTA LUZIA","0000439231","eSF","2600"
"MS","500270","CAMPO GRANDE","0010286","SESAU USF DR OLIMPIO CAVALHEIRO COHAB","0000439320","eSF","4443"
"MS","500270","CAMPO GRANDE","0010421","SESAU USF DRA MARLY ANNA TATTON BERG G PEREIRA MARABA","0000439576","eSF","4446"
"MS","500270","CAMPO GRANDE","0024457","SESAU USF DR ANTONIO PEREIRA TIRADENTES","0000439762","eSF","2200"
"MS","500270","CAMPO GRANDE","0028851","SESAU USF ALFREDO NEDER COOPHAVILA II","0000440000","eSF","2695"
"MS","500070","ANASTÁCIO","2558777","ESTRATEGIA DE SAUDE DA FAMILIA VILA UMBELINA","0000437840","eSF","3587"
"MS","500100","APARECIDA DO TABOADO","6592910","ESF CENTRAL","0000438138","eSF","4886"
"MS","500220","BONITO","5677467","ESF DA VILA AMERICA","0000438685","eSF","4661"
"MS","500260","CAMAPUÃ","2536560","UNIDADE DE SAUDE DA FAMILIA V VILA INDUSTRIAL","0000438847","eSF","1355"
"MS","500260","CAMAPUÃ","6375006","UNIDADE DE SAUDE DA FAMILIA VI RURAL","0000438901","eSF","3158"
"MS","500270","CAMPO GRANDE","0010146","SESAU USF DR ADEMAR GUEDES DE SOUZA MATA DO JACINTO","0000439002","eSF","5399"
"MS","500270","CAMPO GRANDE","0010219","SESAU USF MANOEL SECCO THOME INDUBRASIL","0000439193","eSF","2948"
"MS","500270","CAMPO GRANDE","0010278","SESAU USF MARIA APARECIDA PEDROSSIAN","0000439290","eSF","4173"
"MS","500270","CAMPO GRANDE","6585612","SESAU USF AQUINO DIAS BEZERRA VIDA NOVA","0000440531","eSF","3705"
"MS","500660","PONTA PORÃ","2361000","UNIDADE BASICA DE SAUDE DA FAMILIA SANGA PUITA JOSE BATAGLIN","0000443905","eSF","5494"
"MS","500660","PONTA PORÃ","5911192","UNIDADE DE SAUDE DA FAMILIA DR PEDRO MONTEIRO DE ALMEIDA","0000444030","eSF","6050"
"MS","500710","RIBAS DO RIO PARDO","2536943","ESTRATEGIA DE SAUDE DA FAMILIA MIGUEL PEREIRA DA SILVA","0000444146","eSF","5379"
"MS","500720","RIO BRILHANTE","3865657","ESTRATEGIA SAUDE DA FAMILIA CARLOS VOLPE","0000444251","eSF","3649"
"MS","500270","CAMPO GRANDE","9013415","SESAU USF PEDRO FELIX DE SOUZA PARADISO","0001678469","eSF","3341"
"MS","500270","CAMPO GRANDE","0024341","SESAU USF EDSON QUINTINO MENDES JARDIM ITAMARACA","0001482378","eSF","2644"
"MS","500270","CAMPO GRANDE","0028827","SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA","0001508326","eSF","3445"
"MS","500060","AMAMBAI","2591413","UNIDADE DE SAUDE CENTRAL","0001544691","eSF","3076"
"MS","500080","ANAURILÂNDIA","2376679","ESTRATEGIA SAUDE DA FAMILIA 1 LUIZ RAMIRO DA SILVA","0000437948","eSF","1373"
"MS","500110","AQUIDAUANA","2360217","UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO","0000438162","eSF","2718"
"MS","500270","CAMPO GRANDE","0010200","SESAU USF DR HIROSE ADANIA BONANCA","0000439185","eSF","3359"
"MS","500330","COXIM","0491977","ILDA APARECIDA COMETKI SAO JOSE","0000441422","eSF","3944"
"MS","500370","DOURADOS","2711133","UNIDADE BASICA DE SAUDE RAMAO VIEIRA CACHOEIRINHA","0000442003","eSF","3885"
"MS","500380","FÁTIMA DO SUL","2536730","ESTRATEGIA SAUDE DA FAMILIA VILA EDUCACIONAL","0000442267","eSF","4433"
"MS","500470","IVINHEMA","2676567","ESF ALBINO JOSE MANICA","0000442712","eSF","4911"
"MS","500500","JARDIM","9180613","ESF VI DR CARLITO MARTINS DE OLIVEIRA","0000442844","eSF","4139"
"MS","500520","LADÁRIO","7111592","UNIDADE BASICA DE SAUDE JOAQUIM DA COSTA E FARIA","0000443034","eSF","2527"
"MS","500625","NOVO HORIZONTE DO SUL","2599449","PROGRAMA SAUDE DA FAMILIA NOVO HORIZONTINO","0000443646","eSF","3327"
"MS","500630","PARANAÍBA","2536412","UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA","0000443700","eSF","2939"
"MS","500270","CAMPO GRANDE","3051927","SESAU USF DR JURANDYR DE CASTRO COIMBRA ZE PEREIRA","0000440175","eSF","3088"
"MS","500270","CAMPO GRANDE","2752530","SESAU CF DRA MARCIA DE SA EARP NOVA LIMA","0000440035","eSF","3009"
"MS","500769","SÃO GABRIEL DO OESTE","2370999","UNIDADE DE SAUDE DA FAMILIA FENIX IV","0000444502","eSF","4225"
"MS","500780","SELVÍRIA","6625169","ESF III ESTRETEGIA DA FAMILIA RURAL","0000444669","eSF","1516"
"MS","500270","CAMPO GRANDE","9443525","SESAU USF BENEDITO MARTINS GONCALVES OLIVEIRA II","0001667939","eSF","3516"
"MS","500295","CHAPADÃO DO SUL","7549903","UNIDADE ESTRATEGIA DA SAUDE DA FAMILIA CENTRAL","0001542990","eSF","4986"
"MS","500320","CORUMBÁ","0456462","UNIDADE BASICA DE SAUDE DR WALTER VICTORIO","0000441112","eSF","4577"
"MS","500270","CAMPO GRANDE","3051374","SESAU USF DRA ALDA GUEDES GARCIA OLIVEIRA JARDIM AZALEIA","0000440159","eSF","2831"
"MS","500270","CAMPO GRANDE","3334406","SESAU USF NOVA ESPERANCA","0000440337","eSF","3971"
"MS","500270","CAMPO GRANDE","0021792","SESAU USF DR BENTO DE ASSIS MACHADO ANHANDUI","0002163845","eSF","1851"
"MS","500270","CAMPO GRANDE","0301825","SESAU USF DRA REGIA JUSSARA F DE BARROS AERO RANCHO GRANJA","0002127350","eSF","4699"
"MS","500350","DOURADINA","2536714","UNIDADE SAUDE LAR DE DOURADINA","0000441643","eSF","2680"
"MS","500370","DOURADOS","2711052","UNIDADE BASICA DE SAUDE FREI HUGOLINO BECKER","0000441856","eSF","2665"
