"Uf","IBGE","Municipio","CNES","Estabelecimento","INE""Populaçao"
"MS","500270","CAMPO GRANDE","3023737","SESAU USF VILA CORUMBA","0000440086","2407"
"MS","500270","CAMPO GRANDE","3051374","SESAU USF DRA ALDA GUEDES GARCIA OLIVEIRA JARDIM AZALEIA","0001644769","1681"
"MS","500270","CAMPO GRANDE","7096895","SESAU USF DR HELIO MARTINS COELHO BATISTAO","0000440647","1992"
"MS","500270","CAMPO GRANDE","7096887","SESAU USF DR NELSON TOKUEI SIMABUKURO AERO RANCHO IV","0000440604","3559"
"MS","500270","CAMPO GRANDE","3080021","SESAU USF DR EMILIO GARBELOTI NETO TARUMA","0000440191","1786"
"MS","500280","CARACOL","2620138","ESF LIDIANE DE OLIVEIRA GARDIN GALEANO","0000440825","2714"
"MS","500290","CASSILÂNDIA","2375745","UNIDADE DE SAUDE DA FAMILIA DR ARCELI DE CASTRO PAULINO","0000440876","2015"
"MS","500290","CASSILÂNDIA","2591456","PROGRAMA DE SAUDE DA FAMILIA RURAL","0000440906","2141"
"MS","500290","CASSILÂNDIA","2375710","UNIDADE BASICA DE SAUDE DR ANTONIO TEIXEIRA DE LIMA","0000440833","1235"
"MS","500295","CHAPADÃO DO SUL","2559013","UNIDADE DE SAUDE DA FAMILIA SAUDE LAR","0000440957","5132"
"MS","500320","CORUMBÁ","2536684","UNIDADE BASICA DE SAUDE NOVA CORUMBA","0000441163","3878"
"MS","500320","CORUMBÁ","2591405","UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO","0000441228","3047"
"MS","500320","CORUMBÁ","2376105","UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS","0000441074","4103"
"MS","500345","DEODÁPOLIS","2558823","ESTRATEGIA DE SAUDE DA FAMILIA SANTO ANTONIO","0000441546","2952"
"MS","500348","DOIS IRMÃOS DO BURITI","7551827","UNIDADE BASICA DE SAUDE BAIRRO VILA NOVA","0000441600","2366"
"MS","500370","DOURADOS","5592607","UNIDADE BASICA DE SAUDE LEVY SCHAUZ CABECEIRA ALEGRE","0001623125","1926"
"MS","500370","DOURADOS","5592615","UNIDADE BASICA DE SAUDE DR JOAQUIM LOURENCO FILHO","0000442143","3473"
"MS","500070","ANASTÁCIO","6621058","ESF MARIA FRANCISCA DE LIMA","0000437883","2393"
"MS","500085","ANGÉLICA","6958451","ESF LAURO DOMINGOS DE SOUZA","0000438006","2700"
"MS","500085","ANGÉLICA","2376601","ESF DR MARCIO ROGERIO CAMARGO","0000437980","1577"
"MS","500100","APARECIDA DO TABOADO","5884179","ESF JARDIM DAS FLORES","0000438111","4216"
"MS","500124","ARAL MOREIRA","3276740","POSTO DE SAUDE VISTA ALEGRE","0001512498","610"
"MS","500124","ARAL MOREIRA","2591391","POSTO DE SAUDE ELIANA FERREIRA MACHADO","0000438332","1025"
"MS","500190","BATAGUASSU","2371014","UNIDADE DE SAUDE JD SAO FRANCISCO","0000438383","2142"
"MS","500190","BATAGUASSU","9060588","ESF LUCIO FERREIRA ROSA","0001612301","2841"
"MS","500200","BATAYPORÃ","2376733","ESTRATEGIA DE SAUDE DA FAMILIA SAO LUIZ","0000438502","958"
"MS","500210","BELA VISTA","2710633","ESF DR RUBENS ALBERTO ABOTT DE CASTRO PINTO AGUA DOCE","0000438561","2166"
"MS","500215","BODOQUENA","2676745","UNIDADE BASICA DE SAUDE JESUINO ORMUNDO","0000438650","1410"
"MS","500230","BRASILÂNDIA","2599481","UNIDADE SAUDE DA FAMILIA I BRASILANDIA","0000438715","3722"
"MS","500230","BRASILÂNDIA","9139249","UNIDADE BASICA DE SAUDE JOSE FRANCISCO MARQUES NETO","0000438758","3175"
"MS","500270","CAMPO GRANDE","6585612","SESAU USF AQUINO DIAS BEZERRA VIDA NOVA","0000440566","3478"
"MS","500270","CAMPO GRANDE","3051358","SESAU USF DR WAGNER JOSE BORTOTTO GARCIA MARIO COVAS","0000440124","2053"
"MS","500270","CAMPO GRANDE","9022007","SESAU USF ANA MARIA DO COUTO","0001482602","1755"
"MS","500270","CAMPO GRANDE","0028835","SESAU USF DR BENJAMIM ASATO PARQUE DO SOL","0000439967","3549"
"MS","500270","CAMPO GRANDE","0028835","SESAU USF DR BENJAMIM ASATO PARQUE DO SOL","0000439975","3928"
"MS","500270","CAMPO GRANDE","0010197","SESAU USF DR SUMIE IKEDA RODRIGUES SERRADINHO","0000439169","2591"
"MS","500270","CAMPO GRANDE","0010413","SESAU USF DR SONI LYDIA SOUZA WOLF MACAUBAS","0001644718","1584"
"MS","500540","MARACAJU","2470659","UBS VITORIA MARCONDES TERRA ESF JOSE ALVES MARCONDES","0000443085","2171"
"MS","500540","MARACAJU","5304830","UBS ESF BALBINO CORREIA DE LIMA","0000443123","3241"
"MS","500568","MUNDO NOVO","3463567","UNIDADE DE SAUDE DA FAMILIA III","0000443255","3033"
"MS","500568","MUNDO NOVO","2536846","UNIDADE DE SAUDE DA FAMILIA II MUNDO NOVO","0000443247","3196"
"MS","500570","NAVIRAÍ","9912835","ESF IPE","0001687301","884"
"MS","500570","NAVIRAÍ","5322804","ESF RONAN MARQUES","0000443301","4431"
"MS","500580","NIOAQUE","2376342","UNIDADE DE SAUDE FAMILIA UIRAPURU","0000443409","1065"
"MS","500600","NOVA ALVORADA DO SUL","2482517","UNIDADE BASICA DE SAUDE DA FAMILIA IZABEL MENEZES COELHO","0000443476","1794"
"MS","500620","NOVA ANDRADINA","2600374","ESF MORADA DO SOL","0000443530","3714"
"MS","500620","NOVA ANDRADINA","2612062","ESF IRMAN RIBEIRO","0000443573","4711"
"MS","500620","NOVA ANDRADINA","3881032","ESF CENTRO","0000443611","5155"
"MS","500630","PARANAÍBA","5927056","UNIDADE SAUDE DA FAMILIA HILDA DA SILVA OLIVEIRA","0000443808","2748"
"MS","500630","PARANAÍBA","3050270","UNIDADE SAUDE DA FAMILIA SANTA LUCIA","0000443743","2141"
"MS","500640","PEDRO GOMES","2676885","UNIDADE SAUDE DA FAMILIA DO CENTRO DE SAUDE","0000443891","3170"
"MS","500660","PONTA PORÃ","5971918","UNIDADE BASICA DE SAUDE DA FAMILIA VILA AUREA","0000444057","5008"
"MS","500660","PONTA PORÃ","5870178","UNIDADE BASICA DE SAUDE DA FAMILIA DR NERY DE AZAMBUJA","0000444022","4221"
"MS","500660","PONTA PORÃ","5683238","UNIDADE BASICA DE SAUDE DA FAMILIA ITAMARATI","0000444014","3466"
"MS","500720","RIO BRILHANTE","2804522","ESTRATEGIA SAUDE DA FAMILIA RURAL","0000444227","1832"
"MS","500750","ROCHEDO","2376067","UNIDADE DE SAUDE DA FAMILIA DE ROCHEDO","0000444421","3590"
"MS","500769","SÃO GABRIEL DO OESTE","2599376","UNIDADE DE SAUDE DA FAMILIA VI","0000444529","3594"
"MS","500790","SIDROLÂNDIA","2370840","SAUDE LAR DO DISTRITO DE QUEBRA COCO","0000444685","1527"
"MS","500793","SONORA","3236455","UNIDADE DE SAUDE DA FAMILIA BOM FUTURO","0000444898","3602"
"MS","500793","SONORA","2376911","UNIDADE DE SAUDE DA FAMILIA DE SONORA","0000444855","3570"
"MS","500793","SONORA","7775318","UNIDADE DE SAUDE DA FAMILIA JOSE DA SILVA","0001581813","1352"
"MS","500795","TACURU","5683386","UNIDADE BASICA DE SAUDE DA FAMILIA AURELIANO DURE","0000444928","1036"
"MS","500830","TRÊS LAGOAS","6343864","ESTRATEGIA DE SAUDE DA FAMILIA JARDIM MARISTELA","0000445258","5695"
"MS","500830","TRÊS LAGOAS","2757060","ESF INTERLAGOS GABRIEL MARQUES FERNANDES","0001685597","1041"
"MS","500830","TRÊS LAGOAS","2757087","ESTRATEGIA DE SAUDE DA FAMILIA JUPIA","0000445053","2395"
"MS","500830","TRÊS LAGOAS","9615946","UBS NOVO OESTE PASTOR MARCOS ROGERIO","0001655841","3922"
"MS","500830","TRÊS LAGOAS","2757168","ESF VILA PILOTO ADRIANA CRISTINA DE QUEIROZ GORGA","0000445207","2740"
"MS","500270","CAMPO GRANDE","0028789","SESAU USF DR JUDSON TADEU RIBAS MORENINHA III","0001705792","302"
"MS","500270","CAMPO GRANDE","0024457","SESAU USF DR ANTONIO PEREIRA TIRADENTES","0000439762","1287"
"MS","500270","CAMPO GRANDE","0010367","SESAU UBS DR CELSO LACERDA DE AZEVEDO PIONEIRA","0000439517","830"
"MS","500270","CAMPO GRANDE","9013415","SESAU USF PEDRO FELIX DE SOUZA PARADISO","0001678469","809"
"MS","500270","CAMPO GRANDE","0024449","SESAU UBS DR JOAO PEREIRA DA ROSA AERO RANCHO","0000439738","1747"
"MS","500790","SIDROLÂNDIA","9913041","EQUIPE DE ESF MOVEL","0001687670","863"
"MS","500790","SIDROLÂNDIA","2370883","CENTRO DE SAUDE DE SIDROLANDIA","0000444723","681"
"MS","500830","TRÊS LAGOAS","2757052","EACS EURIDICE CHAGAS CRUZ","0000445010","1109"
"MS","500370","DOURADOS","2711133","UNIDADE BASICA DE SAUDE RAMAO VIEIRA CACHOEIRINHA","0000442003","3072"
"MS","500370","DOURADOS","2711117","UNIDADE BASICA DE SAUDE MOTOHIDE HIRAISHI MARACANA","0000441945","3670"
"MS","500380","FÁTIMA DO SUL","2536730","ESTRATEGIA SAUDE DA FAMILIA VILA EDUCACIONAL","0000442267","4274"
"MS","500430","IGUATEMI","2482592","UNIDADE DE SAUDE DA FAMILIA VILA OPERARIA","0000442410","3978"
"MS","500450","ITAPORÃ","2361450","UNIDADE DE SAUDE DA FAMILIA COPACABANA","0000442542","1530"
"MS","500500","JARDIM","9180613","ESF VI DR CARLITO MARTINS DE OLIVEIRA","0000442844","3483"
"MS","500510","JATEÍ","2620146","UNIDADE DE SAUDE DA FAMILIA DE JATEI","0000442895","2558"
"MS","500270","CAMPO GRANDE","0024341","SESAU USF EDSON QUINTINO MENDES JARDIM ITAMARACA","0001482378","2319"
"MS","500270","CAMPO GRANDE","2752530","SESAU CF DRA MARCIA DE SA EARP NOVA LIMA","0000440035","2402"
"MS","500270","CAMPO GRANDE","0028827","SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA","0001508326","3251"
"MS","500270","CAMPO GRANDE","0028827","SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA","0000439908","2366"
"MS","500270","CAMPO GRANDE","7108001","SESAU USF DR ELIZABTH WANDERLE TOBARU BOTAFOGO","0000440736","2736"
"MS","500270","CAMPO GRANDE","9439919","SESAU USF VILA COX SANTA LUZIA","0000439231","1337"
"MS","500270","CAMPO GRANDE","3051374","SESAU USF DRA ALDA GUEDES GARCIA OLIVEIRA JARDIM AZALEIA","0000440159","1062"
"MS","500270","CAMPO GRANDE","0010278","SESAU USF MARIA APARECIDA PEDROSSIAN","0000439290","2269"
"MS","500270","CAMPO GRANDE","0021679","SESAU USF DRA MARIA JOSE DE PAULI TRES BARRAS","0000439592","1061"
"MS","500295","CHAPADÃO DO SUL","7549903","UNIDADE ESTRATEGIA DA SAUDE DA FAMILIA CENTRAL","0001542990","5131"
"MS","500320","CORUMBÁ","9191801","UNIDADE BASICA DE SAUDE JARDIM DOS ESTADOS","0001547852","3182"
"MS","500320","CORUMBÁ","6564070","UNIDADE BASICA DE SAUDE ANGELICA ANACHE","0000441295","3664"
"MS","500320","CORUMBÁ","2536676","UNIDADE BASICA DE SAUDE BEIRA RIO","0000441155","3365"
"MS","500330","COXIM","2482665","UNIDADE DE SAUDE DA FAMILIA MARECHAL RONDON","0000441422","2017"
"MS","500350","DOURADINA","2536714","UNIDADE SAUDE LAR DE DOURADINA","0000441643","2693"
"MS","500370","DOURADOS","2711095","UNIDADE BASICA DE SAUDE TAKEO TAKIMOTO OURO VERDE","0000441899","3739"
"MS","500370","DOURADOS","5592615","UNIDADE BASICA DE SAUDE DR JOAQUIM LOURENCO FILHO","0000442135","2688"
"MS","500370","DOURADOS","2710854","UNIDADE BASICA DE SAUDE DR JULVIS ARRUDA MATOS IV PLANO","0000441708","3209"
"MS","500370","DOURADOS","2711052","UNIDADE BASICA DE SAUDE FREI HUGOLINO BECKER","0000441856","2966"
"MS","500370","DOURADOS","2711079","UNIDADE BASICA DE SAUDE JARDIM PIRATININGA","0000441872","2847"
"MS","500020","ÁGUA CLARA","3989372","UBSF MARIA DO CARMO DA SILVA MARIA","0000437638","2388"
"MS","500060","AMAMBAI","2611961","UNIDADE DE SAUDE DA FAMILIA VILA GLORIA","0000437727","2252"
"MS","500060","AMAMBAI","2591413","UNIDADE DE SAUDE CENTRAL","0001544691","1638"
"MS","500080","ANAURILÂNDIA","2376679","ESTRATEGIA SAUDE DA FAMILIA 1 LUIZ RAMIRO DA SILVA","0000437948","848"
"MS","500100","APARECIDA DO TABOADO","6592910","ESF CENTRAL","0000438138","4562"
"MS","500110","AQUIDAUANA","2360217","UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO","0000438162","3897"
"MS","500110","AQUIDAUANA","7525877","UNIDADE DE SAUDE DA FAMILIA MODESTO PEREIRA","0001536605","1035"
"MS","500110","AQUIDAUANA","2659662","UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA","0000438189","2770"
"MS","500190","BATAGUASSU","5734592","ESF DR RUBENS KIMURA","0000438421","4076"
"MS","500215","BODOQUENA","2676737","ESF 01 DR MARCIA LUIZA APARECIDA PATERLINI","0000438642","2689"
"MS","500220","BONITO","6416225","UNIDADE DE SAUDE DA FAMILIA DO CENTRO","0000438693","3715"
"MS","500260","CAMAPUÃ","6375006","UNIDADE DE SAUDE DA FAMILIA VI RURAL","0000438901","2578"
"MS","500260","CAMAPUÃ","2536560","UNIDADE DE SAUDE DA FAMILIA V VILA INDUSTRIAL","0000438847","1000"
"MS","500270","CAMPO GRANDE","6585612","SESAU USF AQUINO DIAS BEZERRA VIDA NOVA","0000440531","2018"
"MS","500270","CAMPO GRANDE","0010146","SESAU USF DR ADEMAR GUEDES DE SOUZA MATA DO JACINTO","0000439002","2350"
"MS","500270","CAMPO GRANDE","0010421","SESAU USF DRA MARLY ANNA TATTON BERG G PEREIRA MARABA","0000439576","2322"
"MS","500270","CAMPO GRANDE","0028835","SESAU USF DR BENJAMIM ASATO PARQUE DO SOL","0000439940","2372"
"MS","500270","CAMPO GRANDE","0010197","SESAU USF DR SUMIE IKEDA RODRIGUES SERRADINHO","0000439150","1862"
"MS","500270","CAMPO GRANDE","9230246","SESAU USF DR SYRZIL WILSON MAKSOUD SIRIO LIBANES","0000439355","2403"
"MS","500270","CAMPO GRANDE","0010200","SESAU USF DR HIROSE ADANIA BONANCA","0000439185","2035"
"MS","500270","CAMPO GRANDE","0010219","SESAU USF MANOEL SECCO THOME INDUBRASIL","0000439193","1812"
"MS","500270","CAMPO GRANDE","3334406","SESAU USF NOVA ESPERANCA","0000440337","1779"
"MS","500270","CAMPO GRANDE","9443525","SESAU USF BENEDITO MARTINS GONCALVES OLIVEIRA II","0001667939","1805"
"MS","500520","LADÁRIO","7111592","UNIDADE BASICA DE SAUDE JOAQUIM DA COSTA E FARIA","0000443034","1832"
"MS","500540","MARACAJU","7752431","UBS SR MIGUEL PEDROSO FERREIRA ESF EGIDIO RIBEIRO","0001579541","3405"
"MS","500580","NIOAQUE","2611953","UNIDADE DE SAUDE DA FAMILIA COLONIA CONCEICAO","0000443417","1979"
"MS","500600","NOVA ALVORADA DO SUL","2482584","UNIDADE BASICA DE SAUDE DA FAMILIA LEONORA DIAS BRITO","0000443484","630"
"MS","500620","NOVA ANDRADINA","2612046","ESF SAO VICENTE","0000443557","3472"
"MS","500620","NOVA ANDRADINA","2612038","ESF CENTRO EDUCACIONAL","0000443549","4333"
"MS","500620","NOVA ANDRADINA","6669239","ESF VILA BEATRIZ","0000443638","3702"
"MS","500625","NOVO HORIZONTE DO SUL","2599449","PROGRAMA SAUDE DA FAMILIA NOVO HORIZONTINO","0000443646","2663"
"MS","500630","PARANAÍBA","2536412","UNIDADE SAUDE DA FAMILIA DANIEL MARTINS FERREIRA","0000443700","2674"
"MS","500630","PARANAÍBA","3050319","UNIDADE SAUDE DA FAMILIA SANTO ANTONIO","0000443786","3459"
"MS","500660","PONTA PORÃ","5911192","UNIDADE DE SAUDE DA FAMILIA DR PEDRO MONTEIRO DE ALMEIDA","0000444030","4887"
"MS","500660","PONTA PORÃ","9075062","UNIDADE DE SAUDE DA FAMILIA ENFERMEIRA ELIZA MEDINA BARRETO","0001635379","3352"
"MS","500660","PONTA PORÃ","2361019","UNIDADE BASICA DE SAUDE DA FAMILIA CABECEIRA DO APA","0001534106","1092"
"MS","500660","PONTA PORÃ","9042849","UNIDADE BASICA DE SAUDE DA FAMILIA DR JOSE ISSA","0000443972","3967"
"MS","500660","PONTA PORÃ","2361000","UNIDADE BASICA DE SAUDE DA FAMILIA SANGA PUITA JOSE BATAGLIN","0000443905","3868"
"MS","500710","RIBAS DO RIO PARDO","2536943","ESTRATEGIA DE SAUDE DA FAMILIA MIGUEL PEREIRA DA SILVA","0000444146","2092"
"MS","500720","RIO BRILHANTE","3865657","ESTRATEGIA SAUDE DA FAMILIA CARLOS VOLPE","0000444251","3705"
"MS","500740","RIO VERDE DE MATO GROSSO","2375915","UNIDADE DE SAUDE DA FAMILIA CENTRO RIO VERDE","0000444359","1450"
"MS","500755","SANTA RITA DO PARDO","3010708","ESTRATEGIA DE SAUDE DA FAMILIA JOSE GISFREDO","0000444456","3146"
"MS","500769","SÃO GABRIEL DO OESTE","2370999","UNIDADE DE SAUDE DA FAMILIA FENIX IV","0000444502","3351"
"MS","500780","SELVÍRIA","6625169","ESF III ESTRETEGIA DA FAMILIA RURAL","0000444669","892"
"MS","500795","TACURU","2611988","UNIDADE DE SAUDE DA FAMILIA DE TACURU NAIR MARIA BRESSAN","0000444901","2711"
"MS","500797","TAQUARUSSU","7498454","ESTRATEGIA DE SAUDE DA FAMILIA II","0001528653","1135"
"MS","500800","TERENOS","5337135","POSTO DE SAUDE DA FAMILIA UNIDADE VILA JAMIL","0000444979","1580"
"MS","500830","TRÊS LAGOAS","9390693","ESF JARDIM ATENAS BISPO DOM MOREIRA","0001685465","933"
"MS","500830","TRÊS LAGOAS","2757125","ESTRATEGIA DE SAUDE DA FAMILIA SANTO ANDRE","0000445134","3566"
"MS","500270","CAMPO GRANDE","3051927","SESAU USF DR JURANDYR DE CASTRO COIMBRA ZE PEREIRA","0000440175","1505"
"MS","500270","CAMPO GRANDE","0028851","SESAU USF ALFREDO NEDER COOPHAVILA II","0000440000","1253"
"MS","500830","TRÊS LAGOAS","2757117","ESTRATEGIA DE SAUDE DA FAMILIA SANTA RITA","0001691716","493"
"MS","500370","DOURADOS","2711109","UNIDADE BASICA DE SAUDE BIANOR ALVES DA SILVA SELETA","0001713701","0"
"MS","500270","CAMPO GRANDE","0024457","SESAU USF DR ANTONIO PEREIRA TIRADENTES","0001707949","6"
"MS","500270","CAMPO GRANDE","0010154","SESAU UBS DR ASTROGILDO CARMONA CARLOTA","0000439029","2203"
"MS","500270","CAMPO GRANDE","0010170","SESAU UBS DR VESPASIANO BARBOSA MARTINS VILA POPULAR","0000439088","1728"
"MS","500270","CAMPO GRANDE","0010324","SESAU UBS DR WILLIAN MACKSOUD ESTRELA DO SUL","0000439444","2878"
"MS","500370","DOURADOS","2710870","UNIDADE BASICA DE SAUDE MARLUCIA ARAUJO LUPINETTI","0000441767","2464"
"MS","500270","CAMPO GRANDE","0024465","SESAU UBS ENG ARTHUR HOKAMA DONA NETA GUANANDI","0000439819","2563"
"MS","500270","CAMPO GRANDE","0024430","SESAU UBS DR GERMANO BARROS DE SOUZA UNIVERSITARIO","0000439681","1654"
"MS","500270","CAMPO GRANDE","0024449","SESAU UBS DR JOAO PEREIRA DA ROSA AERO RANCHO","0000439754","436"
"MS","500540","MARACAJU","2470624","UBS ESF DR CLEMENTINO BARROS WANDERLEI","0000443069","0"
"MS","500790","SIDROLÂNDIA","5767776","ESF DO ASSENTAMENTO ELDORADO II","0000444804","0"
"MS","500830","TRÊS LAGOAS","2757044","UNIDADE BASICA DE SAUDE ALTAIR CABRAL TRANIM","0001637266","0"
"MS","500480","JAPORÃ","2374382","UNIDADE BASICA DE SAUDE DE JAPORA","0000442747","281"
"MS","500370","DOURADOS","5592593","UNIDADE BASICA DE SAUDE DRA HELENA YOSHIE MORIBE","0000442119","1645"
"MS","500370","DOURADOS","3239837","UNIDADE BASICA DE SAUDE ANTONIO DA COSTA CARVALHO","0000442062","2557"
"MS","500370","DOURADOS","2711001","UNIDADE BASICA DE SAUDE ARINO PEREIRA DE MATTOS","0000441821","2353"
"MS","500490","JARAGUARI","2651467","UNIDADE DE SAUDE FAMILIA I","0000442801","1871"
"MS","500500","JARDIM","2376385","PROGRAMA SAUDE DA FAMILIA DR REINALDO DE ARRUDA","0000442828","3154"
"MS","500515","JUTI","8011419","UNIDADE DE SAUDE DA FAMILIA RURAL JUTI","0000442968","2400"
"MS","500270","CAMPO GRANDE","3311260","SESAU USF PASTOR ELISEU FEITOSA DE ALENCAR SAO CONRADO","0000440310","2933"
"MS","500270","CAMPO GRANDE","0024341","SESAU USF EDSON QUINTINO MENDES JARDIM ITAMARACA","0000439657","2271"
"MS","500270","CAMPO GRANDE","2752530","SESAU CF DRA MARCIA DE SA EARP NOVA LIMA","0001674196","2426"
"MS","500270","CAMPO GRANDE","7108001","SESAU USF DR ELIZABTH WANDERLE TOBARU BOTAFOGO","0000440698","3026"
"MS","500270","CAMPO GRANDE","7108001","SESAU USF DR ELIZABTH WANDERLE TOBARU BOTAFOGO","0000440701","1973"
"MS","500270","CAMPO GRANDE","9439919","SESAU USF VILA COX SANTA LUZIA","0001667874","1285"
"MS","500270","CAMPO GRANDE","7096887","SESAU USF DR NELSON TOKUEI SIMABUKURO AERO RANCHO IV","0000440620","2494"
"MS","500270","CAMPO GRANDE","0021652","SESAU USF DR ROGER BUAINAIN ROCHEDINHO","0001605178","824"
"MS","500270","CAMPO GRANDE","3080021","SESAU USF DR EMILIO GARBELOTI NETO TARUMA","0000440183","2189"
"MS","500280","CARACOL","7500874","ESF IRIA CONCEICAO ALVARENGA MENDES","0001531859","708"
"MS","500320","CORUMBÁ","2591553","UNIDADE BASICA DE SAUDE RURAL MATO GRANDE","0000441244","1379"
"MS","500320","CORUMBÁ","2376148","UNIDADE BASICA DE SAUDE FERNANDO MOUTINHO","0000441112","4279"
"MS","500320","CORUMBÁ","2376512","UNIDADE BASICA DE SAUDE ENIO CUNHA","0000441139","3375"
"MS","500320","CORUMBÁ","2376105","UNIDADE BASICA DE SAUDE BRENO DE MEDEIROS","0000441082","3074"
"MS","500320","CORUMBÁ","6091458","UNIDADE BASICA DE SAUDE DR HUMBERTO PEREIRA","0000441287","3696"
"MS","500320","CORUMBÁ","6590209","UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS","0000441317","3009"
"MS","500325","COSTA RICA","2375788","UNIDADE SAUDE FAMILIA VALE DO AMANHECER","0000441325","3937"
"MS","500325","COSTA RICA","2559048","UNIDADE DE SAUDE DA FAMILIA SONHO MEU III","0000441376","5033"
"MS","500325","COSTA RICA","3182460","UNIDADE DA SAUDE DA FAMILIA CENTRAL","0000441384","4748"
"MS","500330","COXIM","2752549","POLICLINICA LOURDES FONTOURA","0001497871","2449"
"MS","500348","DOIS IRMÃOS DO BURITI","2591510","UNIDADE DE SAUDE DA FAMILIA MARCOS FREIRE","0000441589","2280"
"MS","500370","DOURADOS","5592607","UNIDADE BASICA DE SAUDE LEVY SCHAUZ CABECEIRA ALEGRE","0000442127","2954"
"MS","500370","DOURADOS","2711095","UNIDADE BASICA DE SAUDE TAKEO TAKIMOTO OURO VERDE","0000441880","2799"
